frame_path,angle
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231003_934.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230122_588.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224320_083.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230711_690.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225609_244.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230746_459.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225856_354.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230610_464.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230353_109.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223743_984.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225504_123.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225813_492.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230950_198.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230251_470.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223620_103.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230407_079.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225948_097.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225532_107.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230723_824.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223945_986.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230211_464.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230938_937.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225952_484.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231020_704.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230357_709.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223728_491.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231018_454.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223911_616.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230521_075.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224156_841.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230531_590.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224044_715.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230936_836.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225715_100.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225439_496.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224254_097.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230733_458.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223909_985.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223657_224.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230750_194.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231006_562.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225554_491.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230814_572.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230013_366.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223954_104.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224019_479.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224221_353.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223758_099.jpg,30
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230742_820.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224312_961.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230821_191.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225734_856.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230858_447.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225632_981.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230125_713.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224022_093.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224410_597.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225534_625.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230845_066.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224225_097.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223920_220.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223935_336.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225416_875.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223604_235.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225514_737.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223609_116.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225545_386.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230337_843.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230327_221.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230213_587.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230802_440.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224004_975.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225724_480.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230956_812.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225619_741.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223801_616.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225406_122.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224400_355.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230736_194.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230819_075.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225429_363.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223606_984.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230146_855.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230649_698.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225613_116.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224002_985.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224238_612.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224042_968.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224049_984.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231048_075.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223714_351.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230206_099.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224113_335.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230016_963.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224323_464.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230017_210.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223954_969.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223809_487.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224410_842.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223602_111.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230537_088.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223606_116.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224022_595.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230540_081.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230447_701.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223627_748.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223618_242.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224310_461.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223643_866.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230207_965.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225832_969.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230142_341.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230950_579.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230223_956.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224143_096.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224356_839.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225827_986.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230823_819.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223858_724.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225635_865.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224320_460.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223610_606.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230743_697.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224026_716.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225900_472.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230246_464.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230739_843.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224007_849.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225940_097.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230111_088.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230441_219.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225758_478.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230639_454.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230611_201.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224046_220.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223841_476.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230318_853.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224423_458.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231012_950.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225729_968.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224003_111.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225437_108.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230909_815.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225734_983.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224220_336.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230858_071.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230729_583.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230146_476.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225752_100.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223620_364.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231047_693.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230727_450.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230831_814.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230738_833.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230131_334.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225624_102.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223630_106.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224103_605.jpg,30
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225454_370.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230113_210.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225951_600.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223945_102.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230937_189.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225752_354.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231105_311.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230411_353.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230404_328.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224258_353.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230145_337.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230708_212.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224325_215.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230110_728.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230928_954.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223805_491.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225907_969.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224133_475.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230736_074.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230234_334.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223909_598.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223640_119.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225921_091.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223626_602.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223654_234.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224346_344.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224114_488.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231036_689.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225406_608.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230358_102.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230958_706.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230317_080.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223945_347.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223622_748.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230151_585.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230126_589.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224253_584.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225818_469.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230401_711.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223654_126.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225446_859.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225714_998.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230906_313.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230455_468.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224146_464.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230139_972.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223704_735.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223754_740.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225329_363.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230405_712.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230740_961.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230416_461.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231043_689.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230314_328.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224147_094.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230857_812.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225941_983.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231014_703.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230555_198.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225355_735.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223632_726.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230838_816.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230656_069.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223611_982.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230910_065.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230930_439.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231012_063.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224217_727.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224413_343.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230548_962.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223823_003.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230833_710.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230752_947.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230551_446.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230804_212.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230656_579.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230643_087.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224113_602.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225852_851.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224230_588.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225914_602.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225503_751.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225649_848.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223804_983.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230240_354.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224234_476.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224307_958.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224408_721.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225550_614.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225722_972.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230124_959.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225846_844.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225317_117.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230903_564.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224227_334.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230939_310.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224154_977.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224319_584.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223804_225.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224034_465.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225949_842.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230944_939.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230403_202.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231046_827.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230334_718.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224020_722.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224323_594.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_231056_717.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230020_483.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230227_833.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230845_216.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230314_480.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223806_858.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230237_342.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225414_497.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225559_227.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223950_846.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230255_717.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224014_221.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225353_109.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225644_476.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224225_339.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230313_462.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230704_825.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230231_589.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225646_232.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223819_601.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225834_469.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225551_103.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230430_327.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223913_230.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_230805_835.jpg,120
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_224154_718.jpg,60
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_225458_731.jpg,90
C:\Users\USER\Desktop\augmented_frames\cropped_image_20241214_223950_368.jpg,90
